STATION,NAME,DATE,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/1/60,,,,,,,,,0,0,0,,49,30,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/2/60,,,,,,,,,0,0,0,,49,29,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/3/60,,,,,,,,,0,0,0,,54,35,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/4/60,,,,,,,,,0,0,0,,54,36,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/5/60,,,,,,,,,0,0,0,,55,33,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/6/60,,,,,,,,,0,0,0,,53,38,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/7/60,,,,,,,,,0,0,0,,56,46,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/8/60,,,,,,,,,0.45,0,0,,54,49,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/9/60,,,,,,,,,0.61,0,0,,51,46,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/10/60,,,,,,,,,0.08,0,0,,55,46,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/11/60,,,,,,,,,0.48,0,0,,53,43,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/12/60,,,,,,,,,0,0,0,,53,37,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/13/60,,,,,,,,,0.05,0,0,,49,33,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/14/60,,,,,,,,,0.67,0,0,,48,40,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/15/60,,,,,,,,,0,0,0,,54,37,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/16/60,,,,,,,,,0,0,0,,56,35,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/17/60,,,,,,,,,0,0,0,,54,34,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/18/60,,,,,,,,,0,0,0,,51,40,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/19/60,,,,,,,,,0,0,0,,52,41,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/20/60,,,,,,,,,0,0,0,,58,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/21/60,,,,,,,,,0.11,0,0,,54,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/22/60,,,,,,,,,0,0,0,,61,49,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/23/60,,,,,,,,,0,0,0,,60,45,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/24/60,,,,,,,,,0.35,0,0,,60,47,,,,,,,,,,1,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/25/60,,,,,,,,,0.58,0,0,,60,51,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/26/60,,,,,,,,,0.04,0,0,,58,50,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/27/60,,,,,,,,,0,0,0,,60,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/28/60,,,,,,,,,0,0,0,,62,47,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/29/60,,,,,,,,,0,0,0,,63,44,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/30/60,,,,,,,,,0,0,0,,61,49,,,,,,,,,,1,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/31/60,,,,,,,,,0,0,0,,59,46,,,,,,,,,,1,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/1/60,,,,,,,,,0.81,0,0,,62,51,,,,,,,,,,1,,,,1,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/2/60,,,,,,,,,0,0,0,,59,43,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2/3/60,,,,,,,,,0.2,0,0,,59,47,,,,,,,,,,1,,,,,,,,1,
